year	registrations	vehicle_registrations_amt
2001	254909	788029013
2002	200468	792570662
2003	223157	818449745
2004	240238	945973401
2005	292942	1148783152
2006	324712	1287407855
2007	337956	1406055633
2008	285554	1120777384
2009	149169	375402902
2010	162117	383485207
2011	159451	385253747
2012	145487	379345821
2013	156541	437308611
2014	189705	542099431

